logFC,AveExpr,t,P.Value,adj.P.Val,B,comp,geneIDs
-6.149204,8.951646,-24.6710856354,0.0004785953,0.0916025486,0.8593025295,Male/Female,g18043
19.3504685,9.72364425,24.6472458179,0.0004797478,0.0916025486,0.8579833428,Male/Female,g18336
6.8918595,4.21511625,24.5947480819,0.0004822997,0.0916025486,0.855068428,Male/Female,g15953
-5.6181035,3.63497725,-24.5286889597,0.0004855378,0.0916025486,0.851381014,Male/Female,g68
16.7985825,38.08973025,24.5054530258,0.000486684,0.0916025486,0.8500787905,Male/Female,g2205
-11.514082,57.3191345,-24.5004340319,0.0004869321,0.0916025486,0.849797152,Male/Female,g20597
-373.699253,310.5516795,-24.4438111595,0.0004897432,0.0916025486,0.8466109868,Male/Female,g14638
4.2725275,43.63356875,24.3997437381,0.0004919468,0.0916025486,0.844120085,Male/Female,g14711
-30.827758,16.642382,-24.3472905672,0.0004945877,0.0916025486,0.8411422922,Male/Female,g10053
209.591133,203.439968,24.2772329064,0.0004981461,0.0916025486,0.8371430973,Male/Female,g13090
-5.860594,3.1224105,-24.2389398412,0.0005001062,0.0916025486,0.8349464702,Male/Female,g11014
3.638827,11.640305,24.1157132242,0.0005064877,0.0916025486,0.8278260059,Male/Female,g15954
105.0231615,69.83686125,23.8908732674,0.0005184283,0.0916025486,0.8146275168,Male/Female,g4207
-3.706855,13.5096225,-23.8886130252,0.0005185503,0.0916025486,0.8144934646,Male/Female,g16197
26.099387,29.668002,23.7935685782,0.0005237182,0.0916025486,0.8088314678,Male/Female,g2066
10.3111845,5.15559225,23.7063115247,0.0005285263,0.0916025486,0.8035900349,Male/Female,g14124
-25.1751985,14.43422875,-23.6393115595,0.0005322602,0.0916025486,0.7995369902,Male/Female,g5646
-25.610755,17.0957515,-23.6218897835,0.0005332372,0.0916025486,0.798479018,Male/Female,g18694
-5.7933905,4.36380025,-23.5536073675,0.0005370905,0.0916025486,0.7943161322,Male/Female,g15114
14.5240065,63.25978275,23.5364442831,0.0005380652,0.0916025486,0.793265672,Male/Female,g1567
-6.637865,24.5136165,-23.379807957,0.000547076,0.0916025486,0.7836019745,Male/Female,g14569
-10.1940955,5.09704775,-23.3502240621,0.0005488015,0.0916025486,0.7817611231,Male/Female,g19388
-4.797622,10.4930795,-23.3357932598,0.000549646,0.0916025486,0.7808613491,Male/Female,g19164
4.6190545,11.71318525,23.3256458248,0.0005502409,0.0916025486,0.7802279307,Male/Female,g10703
-3.7158815,9.62368725,-23.2800608643,0.0005529245,0.0916025486,0.7773751314,Male/Female,g10309
